"","yearmon","nombre.Agencia","Total"
"117",2014-12-01,"CUCUTA",6343.12
"118",2015-01-01,"CUCUTA",3929.26
"119",2015-02-01,"CUCUTA",6956.44
"120",2015-03-01,"CUCUTA",3788.04
"121",2011-01-01,"DORADA",8071.138
"122",2011-02-01,"DORADA",4979.602
"123",2011-03-01,"DORADA",10628.168
"124",2011-04-01,"DORADA",3872.536
"125",2011-05-01,"DORADA",4965.137
"126",2011-06-01,"DORADA",5848.12
"127",2011-07-01,"DORADA",6655.12
"128",2011-08-01,"DORADA",7035.65
"129",2011-09-01,"DORADA",10089.24
"130",2011-10-01,"DORADA",8190.192
"131",2011-11-01,"DORADA",7969.632
"132",2011-12-01,"DORADA",6393.956
"133",2012-01-01,"DORADA",6714.262
"134",2012-02-01,"DORADA",6649.727
"135",2012-03-01,"DORADA",6720.25
"136",2012-04-01,"DORADA",6539.18
"137",2012-05-01,"DORADA",7200.572
"138",2012-06-01,"DORADA",3625.608
"139",2012-07-01,"DORADA",7000.519
"140",2012-08-01,"DORADA",4525.094
"141",2012-09-01,"DORADA",6181.692
"142",2012-10-01,"DORADA",4835.168
"143",2012-11-01,"DORADA",7011.898
"144",2012-12-01,"DORADA",6396.614
"145",2013-01-01,"DORADA",7030.084
"146",2013-02-01,"DORADA",4189.56
"147",2013-03-01,"DORADA",4807.874
"148",2013-04-01,"DORADA",3767.09
"149",2013-05-01,"DORADA",3370.114
"150",2013-06-01,"DORADA",4690.066
"151",2013-07-01,"DORADA",4506.316
"152",2013-08-01,"DORADA",3938.798
"153",2013-09-01,"DORADA",4296.06
"154",2013-10-01,"DORADA",4536.55
"155",2013-11-01,"DORADA",4304.566
"156",2013-12-01,"DORADA",3663.548
"157",2014-01-01,"DORADA",4725.126
"158",2014-02-01,"DORADA",3545.497
"159",2014-03-01,"DORADA",4326.57
"160",2014-04-01,"DORADA",5307.588
"161",2014-05-01,"DORADA",2712.065
"162",2014-06-01,"DORADA",2103.055
"163",2014-07-01,"DORADA",3656.542
"164",2014-08-01,"DORADA",2693.522
"165",2014-09-01,"DORADA",2505.084
"166",2014-10-01,"DORADA",3247.536
"167",2014-11-01,"DORADA",2127.036
"168",2014-12-01,"DORADA",3332.072
"169",2015-01-01,"DORADA",3084.56
"170",2015-02-01,"DORADA",5159.089
"171",2015-03-01,"DORADA",2540.34
"172",2011-01-01,"EDS CATAMA VILLAVICE",166.625
"173",2011-02-01,"EDS CATAMA VILLAVICE",134.75
"174",2011-03-01,"EDS CATAMA VILLAVICE",164.25
"175",2011-04-01,"EDS CATAMA VILLAVICE",160.125
"176",2011-05-01,"EDS CATAMA VILLAVICE",164
"177",2011-06-01,"EDS CATAMA VILLAVICE",143.625
"178",2011-07-01,"EDS CATAMA VILLAVICE",157.25
"179",2011-08-01,"EDS CATAMA VILLAVICE",8.875
"180",2011-01-01,"EDS CENTRO NEIVA",37.625
"181",2011-02-01,"EDS CENTRO NEIVA",25.625
"182",2011-03-01,"EDS CENTRO NEIVA",38.25
"183",2011-04-01,"EDS CENTRO NEIVA",37
"184",2011-05-01,"EDS CENTRO NEIVA",34.875
"185",2011-06-01,"EDS CENTRO NEIVA",26.75
"186",2011-07-01,"EDS CENTRO NEIVA",31.75
"187",2011-01-01,"EDS COLOMBIA CHIPAQU",29.75
"188",2011-02-01,"EDS COLOMBIA CHIPAQU",14.625
"189",2011-03-01,"EDS COLOMBIA CHIPAQU",15
"190",2011-04-01,"EDS COLOMBIA CHIPAQU",15.375
"191",2011-05-01,"EDS COLOMBIA CHIPAQU",21.25
"192",2011-06-01,"EDS COLOMBIA CHIPAQU",12
"193",2011-07-01,"EDS COLOMBIA CHIPAQU",17.875
"194",2011-01-01,"EDS CRA. 5 IBAGUE",26.125
"195",2011-01-01,"EDS CUSIANA",336.25
"196",2011-02-01,"EDS CUSIANA",275.125
"197",2011-03-01,"EDS CUSIANA",302.25
"198",2011-04-01,"EDS CUSIANA",211.625
"199",2011-05-01,"EDS CUSIANA",237.375
"200",2011-06-01,"EDS CUSIANA",251.64
"201",2011-07-01,"EDS CUSIANA",231
"202",2011-08-01,"EDS CUSIANA",6
"203",2011-01-01,"EDS ESPERANZA VILLAV",65
"204",2011-02-01,"EDS ESPERANZA VILLAV",29.5
"205",2011-03-01,"EDS ESPERANZA VILLAV",50.25
"206",2011-04-01,"EDS ESPERANZA VILLAV",87.256
"207",2011-05-01,"EDS ESPERANZA VILLAV",86.75
